book_id,listegenre,award
2017,"Audiobook, Fantasy, Fiction, Historical-Historical Fiction, Science Fiction",0
2028,"Classics, Drama, Fiction, Literature-Ancient, Plays, Plays-Theatre",1
2049,"Classics, Fiction, Mystery, Mystery-Crime, Mystery-Detective, Mystery-Noir",0
2050,"Classics, Fiction, Literature-American, Mystery, Mystery-Crime, Mystery-Detective, Mystery-Noir, Novels, Thriller, Thriller-Mystery Thriller",0
2052,"Classics, Fiction, Literature-American, Mystery, Mystery-Crime, Mystery-Detective, Mystery-Noir, Novels, Thriller, Thriller-Mystery Thriller",1
2054,"Classics, Fiction, Literature-American, Mystery, Mystery-Crime, Mystery-Detective, Mystery-Noir, Novels, Thriller, Thriller-Mystery Thriller",0
2067,"Nonfiction, Philosophy, Psychology, Religion, Religion-Atheism, Science",1
2068,"Biology-Evolution, History, Nonfiction, Philosophy, Psychology, Religion, Religion-Atheism, Science, Science-Biology, Science-Popular Science",1
2081,"Artificial Intelligence, Biology-Neuroscience, Neuroscience-Brain, Nonfiction, Philosophy, Psychology, Science, Science-Mathematics, Short Stories, Writing-Essays",0
2094,"History, Nonfiction, Science, Science-Astronomy, Science-Physics",0
2095,"Nonfiction, Science, Science-Astronomy, Science-Physics",1
2096,"History, Nonfiction, Science, Science-Mathematics, Science-Physics",0
2103,"Nonfiction, Science, Science-Astronomy, Science-Physics",0
2104,"Media Tie In-Star Trek, Nonfiction, Science, Science-Physics",0
2115,"Classics, Economics, Fiction, Literature, Literature-American, Novels, Philosophy, Politics, Sociology",0
2122,"Classics, Fiction",0
2136,"Fiction, Historical-Historical Fiction, Science Fiction, Short Stories",1
2137,"Contemporary, Fiction, GLBT-Queer, LGBT",1
2139,"Adult, Contemporary, Family, Fiction, LGBT, LGBT-Gay, Literary Fiction, Literature, Literature-American, Novels",1
2141,"Art, Culture-Film, Nonfiction",0
2142,"Christian, Christian Fiction, Fantasy, Fiction, Thriller",0
2152,"Contemporary, Fiction, Romance, Womens Fiction-Chick Lit, Writing-Books About Books",0
2155,"Biography, Classics, History, Nonfiction",0
2156,"Classics, Fiction, Romance",0
2159,"Autobiography-Memoir, Biography, Biography Memoir, Biography-Autobiography, Business, Economics, Economics-Finance, History, Nonfiction, Politics",0
2165,"Classics, Fiction, Literature",1
2175,"Classics, Cultural-France, Fiction, Literature",0
2176,"European Literature-British Literature, Fiction, Literature, Novels",1
2178,"Classics, Cultural-France, Literature-19th Century, Nonfiction, Northern Africa-Egypt, Travel",0
2182,"Academic-School, Classics, Cultural-France, European Literature-French Literature, Fiction, Literary Fiction, Literature, Literature-19th Century, Novels, Short Stories",0
2183,"Classics, Cultural-France, European Literature-French Literature, Fiction, Literature-19th Century",0
2185,"Classics, Cultural-France, European Literature-French Literature, Humor, Literature, Literature-19th Century, Nonfiction, Philosophy, Reference, Writing-Essays",0
2187,"Contemporary, Fiction, Historical-Historical Fiction",1
2199,"Audiobook, Biography, Historical, History, Leadership, Military History-Civil War, Nonfiction, North American Hi...-American History, Politics, Politics-Presidents",1
2203,"Biography, History, Nonfiction, North American Hi...-American History, Politics-Presidents",1
2250,"Business, Leadership, Nonfiction, Self Help, Self Help-Personal Development",0
2255,"Fiction, Spirituality",0
2265,"Autobiography-Memoir, Biography, Biography-Autobiography, Nonfiction, Sports-Cycling, Sports-Sports",1
2270,"Biography, Health, Nonfiction",0
2273,"Biography, Geography-Cities, History, Nonfiction, Politics",0
2279,"Biography, History, Nonfiction, North American Hi...-American History, Politics-Presidents",1
2281,"Classics, Fiction, Literature, Literature-American, Short Stories",0
2287,"Classics, Fiction, Gothic-Southern Gothic, LGBT, Literature, Literature-American",0
2316,"Childrens, Childrens-Middle Grade, Fantasy, Fiction, Mystery, Young Adult",1
2322,"Adult, European Literature-British Literature, Humanities-Language, Humanities-Linguistics, Humor, Humor-Comedy, Nonfiction, Philosophy, Reference, Reference-Dictionaries",0
2333,"Classics, Fantasy, Fiction, Short Stories",1
2336,"Audiobook, Contemporary, Cultural-Africa, Drama, Fiction, Historical, Historical-Historical Fiction, Novels, Race, Southern Africa-South Africa",0
2339,"Cultural-Australia, Fiction, Historical-Historical Fiction",0
2340,"Cultural-Africa, Fiction, Historical, Historical-Historical Fiction, Southern Africa-South Africa",0
2341,"Cultural-Australia, Fiction, Historical, Historical-Historical Fiction",0
2369,"Biography, History, New York, Nonfiction, North American Hi...-American History",0
2372,"Historical, History, Nonfiction, North American Hi...-American History",1
2373,"Fiction, Mystery, Mystery-Crime, Suspense, Thriller",1
2391,"Adventure, Childrens, Classics, Fiction",0
2402,"Adult Fiction, Contemporary, Cultural-Ireland, Fiction, Literature-American, Modern, Science Fiction, Science Fiction Fantasy, Short Stories, Travel",0
2427,"Fiction, Mystery, Thriller-Legal Thriller",0
2430,"Fiction, Mystery, Suspense, Thriller, Thriller-Legal Thriller",0
2442,"Fantasy, Fiction, Humor",0
2443,"Classics, Humor, Nonfiction, Travel",0
2447,"History, Nonfiction, Philosophy, Politics, Politics-Political Science",0
2493,"Classics, Fantasy, Fiction, Science Fiction, Science Fiction-Time Travel",0
2517,"Fiction, Historical-Historical Fiction, Literature, Mystery, Novels",1
2528,"Contemporary, Cultural-Portugal, European Literature-Portuguese Literature, Fiction, Literary Fiction, Literature, Magical Realism, Nobel Prize, Novels, Romance",1
2530,"Classics, Cultural-Portugal, European Literature-Portuguese Literature, Fiction, Historical-Historical Fiction",1
2531,"Cultural-Portugal, European Literature-Portuguese Literature, Fiction, Literature, Novels",1
2535,"Cultural-Portugal, European Literature-Portuguese Literature, Fantasy, Fiction, Literature, Literature-20th Century, Magical Realism, Nobel Prize, Novels, Romance",1
2536,"Cultural-Portugal, European Literature-Portuguese Literature, Fiction",1
2544,"Classics, Fiction, Literature, Philosophy, Poetry, Short Stories",0
2547,"Classics, Fiction, Philosophy, Poetry, Religion, Spirituality",0
2549,"Classics, Fiction, Literature, Philosophy, Poetry",0
2595,"Buisness, Business, Business-Management, Nonfiction",0
2612,"Audiobook, Business, Economics, Leadership, Nonfiction, Philosophy, Psychology, Science, Self Help, Sociology",0
2615,"Buisness, Business, Business-Entrepreneurship, Business-Management, Economics, Economics-Finance, Leadership, Nonfiction, Science-Technology, Self Help",0
2618,"Business, Business-Entrepreneurship, Business-Management, Leadership, Nonfiction",0
2623,"Classics, Fiction, Historical-Historical Fiction, Literature",1
2657,"Academic-School, Classics, Fiction, Historical-Historical Fiction",1
2666,"Classics, Contemporary, Fiction, Literature, Novels",1
2671,"Art, Art-Art History, Criticism, History, Nonfiction, Writing-Essays",0
2677,"Classics, Fiction, Humor, Writing-Essays",0
2678,"Classics, Fantasy, Fiction, Literature",0
2696,"Classics, Fiction, Literature, Poetry",0
2711,"Classics, Fiction, Historical-Medieval, Literature, Poetry",0
2715,"Food and Drink-Food, History, Nonfiction, Science",0
2723,"Fantasy, Fiction, Historical-Historical Fiction, Science Fiction, Science Fiction-Alternate History",1
2725,"Art, Criticism-Literary Criticism, Nonfiction, Philosophy, Philosophy-Theory, Writing-Essays",0
2743,"Autobiography-Memoir, Biography, Biography-Autobiography, Nonfiction",0
2744,"Fantasy, Fantasy-Mythology, Fantasy-Urban Fantasy, Fiction",1
2748,"Contemporary, Cultural-Canada, Fiction, Humor, Novels",0
2761,"Death, Nonfiction, Philosophy, Psychology, Science, Sociology",1
2767,"History, Nonfiction",1
2784,"Art, Art-Art History, Art-Photography, Criticism, Design, History, Nonfiction, Philosophy, Philosophy-Theory, Writing-Essays",1
2794,"Classics, Contemporary, Fiction, Literary Fiction, Literature, Literature-20th Century, Literature-American, Mystery, Novels, The United States Of America",1
2804,"Biography, Cultural-France, History, Nonfiction, Philosophy, Science",0
2811,"Childrens, Fantasy, Fiction, Young Adult",0
2823,"Classics, European Literature-German Literature, Nonfiction, Philosophy",0
2855,"Cultural-France, Cultural-Romania, European Literature-Romanian Literature, History, Literature, Nonfiction, Philosophy, Philosophy-Theory, Unfinished, Writing-Essays",1
2865,"Art, Classics, Fiction, Historical, Historical-Historical Fiction",1
2872,"European Literature-British Literature, Fiction, Historical, Historical-Historical Fiction",0
2873,"Cultural-France, Fiction, Historical, Historical-Historical Fiction",0
2879,"Fantasy, Sequential Art-Comics, Sequential Art-Graphic Novels, Sequential Art-Manga",0
2880,"Fantasy, Sequential Art-Comics, Sequential Art-Graphic Novels, Sequential Art-Manga",0
2882,"Fantasy, Sequential Art-Comics, Sequential Art-Graphic Novels, Sequential Art-Manga",0
2899,"Classics, European Literature-German Literature, Fiction, Novels",0
2900,"Cultural-Germany, European Literature-German Literature, Fiction, Literature",0
2913,"Adventure, Adventure-Survival, Fiction, Realistic Fiction, Young Adult",0
2915,"Adventure, Adventure-Survival, Childrens, Fiction, Realistic Fiction, Young Adult",1
2923,"Adventure, Animals, Autobiography-Memoir, Nonfiction",0
2932,"Adventure, Classics, Fiction, Literature",0
2953,Classics,0
2956,"Classics, Fiction, Historical-Historical Fiction, Literature, Young Adult",0
2971,"Autobiography-Memoir, Biography, Biography-Autobiography, Classics, History, Nonfiction",0
2998,"Childrens, Classics, Fiction, Young Adult",1
3008,"Childrens, Classics, Fiction, Young Adult",0
3023,"Business, Economics, Economics-Finance, Nonfiction, Politics",0
