book_id,publisher_id,published_date,published_title,name_publisher
5181,19780,,,Pocket Books
5186,19695,,,Vintage
5187,20259,,,Anchor Books
5190,19664,,,Ballantine Books
5191,19815,,,Back Bay Books
5196,19732,,,Dell
5197,19695,,,Vintage
5198,30599,,,Plume (Penguin Books Ltd)
5203,20932,,,Pocket
5204,19845,,,Plume
5205,20259,,,Anchor Books
5211,19695,,,Vintage
5240,20374,,,Free Press
5246,19683,,,Penguin Classics
5289,19788,,,HarperCollins Publishers
5294,19695,,,Vintage
5296,19910,,,Dover Publications
5297,29656,,,Random House: Modern Library
5304,19712,,,Penguin Books
5306,19781,,,Penguin
5308,19712,,,Penguin Books
5309,29191,,,Gemstone Publishing
5326,19841,,,Bethany House Publishers
5338,19683,,,Penguin Classics
5342,19757,,,Simon  Schuster
5344,29799,,,Pearson Longman
5345,20124,,,Doubleday Books
5346,19716,,,Delta
5347,19655,,,Arrow
5348,26959,,,Island
5349,19716,,,Delta
5350,19716,,,Delta
5351,19722,,,Bantam
5352,19716,,,Delta
5354,19716,,,Delta
5355,30089,,,Delta Trade Paperbacks
5356,19716,,,Delta
5357,19655,,,Arrow
5358,21257,,,Addison Wesley Publishing Company
5359,19716,,,Delta
5360,19722,,,Bantam
5364,19722,,,Bantam
5367,29770,,,Avon-Eos
5368,19781,,,Penguin
5369,19664,,,Ballantine Books
5371,19872,,,Puffin Books
5400,19722,,,Bantam
5404,20397,,,Plume Books
5413,19675,,,Doubleday
5417,30647,,,Wings
5439,20179,,,Houghton Mifflin Harcourt
5451,21955,,,Ember
5452,21955,,,Ember
5453,30127,,,Delacorte Books
5454,19745,,,Delacorte Press
5470,19796,,,New American Library
5472,20179,,,Houghton Mifflin Harcourt
5479,20322,,,Harper Perennial Modern Classics
5486,20874,,,"Penguin Press HC, The"
5488,19828,,,Everyman's Library
5499,20259,,,Anchor Books
5500,20540,,,Anchor
5503,20540,,,Anchor
5509,20730,,,Touchstone Books
5512,20433,,,W. W. Norton  Company
5517,19792,,,Random House
5520,19677,,,Berkley Books
5526,19884,,,Warner Books (NY)
5527,29714,,,Harcourt Brace
5546,26017,,,Addison Wesley
5548,20826,,,W.W. Norton & Company
5552,19816,,,Princeton University Press
5553,20327,,,Basic Books
5559,21124,,,Warner Books
5571,24658,,,North Point Press
5575,19720,,,Vision
5659,19712,,,Penguin Books
5686,27155,,,Bantam Classics
5693,19805,,,Modern Library
5695,19695,,,Vintage
5697,19915,,,Vintage Classics
5700,19695,,,Vintage
5720,19677,,,Berkley Books
5729,19845,,,Plume
5752,19712,,,Penguin Books
5755,20322,,,Harper Perennial Modern Classics
5787,19683,,,Penguin Classics
5797,19712,,,Penguin Books
5805,20759,,,Vertigo
5809,29836,,,Contemporary French Fiction
5826,19665,,,Harper Perennial
5845,19875,,,Picador USA
5848,19695,,,Vintage
5849,20267,,,Picador
5853,19895,,,Vintage International
5854,19695,,,Vintage
5872,20123,,,Penguin Books Ltd
5877,21288,,,Viking Books
5890,19683,,,Penguin Classics
5907,20381,,,Houghton Mifflin
5931,20870,,,City Lights Publishers
5932,19683,,,Penguin Classics
5936,20681,,,Farrar Straus Giroux
5937,21562,,,Miramax Books
5941,19695,,,Vintage
5942,19695,,,Vintage
5946,19695,,,Vintage
5947,20170,,,Bloomsbury Publishing PLC
5949,21033,,,Knopf Publishing Group
5954,29762,,,"The Noonday Press / Farrar, Straus Giroux"
5975,19817,,,Scribner
5984,19786,,,Margaret K. McElderry Books
6058,29444,,,Simon Publications
6069,19817,,,Scribner
6138,19805,,,Modern Library
6149,19695,,,Vintage
6150,19817,,,Scribner
6155,21100,,,Harvest House Publishers
6156,21457,,,Vision Forum
6159,19899,,,Grove Press
6163,19828,,,Everyman's Library
6174,19757,,,Simon  Schuster
6176,21192,,,Abacus
6181,21192,,,Abacus
6185,23630,,,Norton
6192,19712,,,Penguin Books
6194,19712,,,Penguin Books
6197,19816,,,Princeton University Press
6201,19712,,,Penguin Books
6217,19712,,,Penguin Books
6240,19695,,,Vintage
6259,19895,,,Vintage International
6273,20186,,,New Directions
6288,20711,,,Alfred A. Knopf
6291,20212,,,Wizards of the Coast
6294,26420,,,Harper Trophy
6295,23496,,,City Lights
6297,20156,,,VIZ Media LLC
6310,19872,,,Puffin Books
6319,19872,,,Puffin Books
6327,20316,,,Scholastic Inc.
6328,20351,,,Puffin
6330,20201,,,Vintage Books
6332,19872,,,Puffin Books
6334,20201,,,Vintage Books
6372,26608,,,Green Key Books
6393,19776,,,NAL
6403,19776,,,NAL
6418,19721,,,HarperTorch
6419,20120,,,St. Martin's Press
6420,19735,,,St Martins Press
6422,20120,,,St. Martin's Press
6423,20120,,,St. Martin's Press
6424,20655,,,St. Martin's Paperbacks
6425,20120,,,St. Martin's Press
6426,19663,,,HarperCollins
6427,19712,,,Penguin Books
6440,29724,,,Penguin Books /Penguin Classics
6462,19695,,,Vintage
6511,19874,,,Faber & Faber
6514,20322,,,Harper Perennial Modern Classics
6520,19749,,,Riverhead Books
6531,23412,,,Time Warner
6534,19780,,,Pocket Books
6537,19677,,,Berkley Books
6538,19674,,,Berkley
6539,19674,,,Berkley
6541,19677,,,Berkley Books
6545,19664,,,Ballantine Books
6546,19664,,,Ballantine Books
6547,20052,,,MTV Books
6549,20052,,,MTV Books
6551,19683,,,Penguin Classics
6553,19664,,,Ballantine Books
6561,19722,,,Bantam
6563,19732,,,Dell
6564,19732,,,Dell
6571,19664,,,Ballantine Books
6572,19732,,,Dell
6573,19664,,,Ballantine Books
6574,19664,,,Ballantine Books
6584,19695,,,Vintage
6588,19719,,,Grand Central Publishing
6596,25713,,,Amber-Allen Publishing
6618,21805,,,Sterling
6624,19865,,,Hyperion
6628,19781,,,Penguin
6656,19828,,,Everyman's Library
6657,19832,,,Tyndale House Publishers
6667,19872,,,Puffin Books
6668,20351,,,Puffin
6670,19872,,,Puffin Books
6671,20328,,,Knopf Books for Young Readers
6678,20351,,,Puffin
6687,19872,,,Puffin Books
6689,20711,,,Alfred A. Knopf
6690,20328,,,Knopf Books for Young Readers
6691,21581,,,Penguin (Non-Classics)
6693,20328,,,Knopf Books for Young Readers
6694,20351,,,Puffin
6697,19665,,,Harper Perennial
6708,21493,,,New World Library
6709,21493,,,New World Library
6716,24925,,,Sounds True
6748,19815,,,Back Bay Books
6749,19815,,,Back Bay Books
6750,19712,,,Penguin Books
6751,19803,,,"Little, Brown and Company"
6753,21192,,,Abacus
6759,19815,,,Back Bay Books
6779,20327,,,Basic Books
6819,19695,,,Vintage
6820,19739,,,Random House Trade Paperbacks
6835,19703,,,Poppy
6837,19739,,,Random House Trade Paperbacks
6851,19677,,,Berkley Books
6853,21939,,,Griffin
6854,20120,,,St. Martin's Press
6856,19721,,,HarperTorch
6858,20655,,,St. Martin's Paperbacks
6862,26290,,,Anchor Books/Knopf Doubleday Publishing Group
6867,20259,,,Anchor Books
6868,19695,,,Vintage
6869,20540,,,Anchor
6870,19695,,,Vintage
6871,20540,,,Anchor
6872,20540,,,Anchor
6882,19731,,,William Morrow Paperbacks
6900,20693,,,Warner
6932,23881,,,Ten Speed Press
6933,19769,,,Little Brown and Company
6952,20644,,,Black Swan
6969,19712,,,Penguin Books
6976,19712,,,Penguin Books
6981,19898,,,HarperOne
6996,20433,,,W. W. Norton  Company
7021,19859,,,Scholastic
7022,19859,,,Scholastic
7023,19678,,,Scholastic Paperbacks
7024,20316,,,Scholastic Inc.
7025,19678,,,Scholastic Paperbacks
7026,19859,,,Scholastic
7027,21190,,,"Scholastic, Inc."
7028,19678,,,Scholastic Paperbacks
7029,19859,,,Scholastic
7035,27859,,,Random House Anchor
7042,19781,,,Penguin
7048,21042,,,Dark Horse Books
7053,19774,,,Pantheon
7061,20259,,,Anchor Books
7062,19739,,,Random House Trade Paperbacks
7069,19664,,,Ballantine Books
7073,19664,,,Ballantine Books
7081,19653,,,Tor Books
7096,21017,,,Phoenix Press
7101,19881,,,Mariner Books
7103,19881,,,Mariner Books
7104,19881,,,Mariner Books
7105,19750,,,Hard Press
7113,21562,,,Miramax Books
7126,19683,,,Penguin Classics
7144,19781,,,Penguin
7182,19683,,,Penguin Classics
7184,20765,,,Oxford University Press
7186,20765,,,Oxford University Press
7190,19805,,,Modern Library
7194,19881,,,Mariner Books
7199,19665,,,Harper Perennial
7201,20655,,,St. Martin's Paperbacks
7214,19651,,,Thomas Nelson
7231,23513,,,Ave Maria Press
7244,20322,,,Harper Perennial Modern Classics
7252,20748,,,It Books
7292,23741,,,Island Lake Press
7329,19788,,,HarperCollins Publishers
7332,21389,,,Houghton Mifflin Company
7337,19787,,,Del Rey
7339,19663,,,HarperCollins
7344,29146,,,HiddenSpring
7346,19787,,,Del Rey
7347,20853,,,Del Rey/Ballantine Books
7351,19881,,,Mariner Books
7354,20125,,,Scribner Book Company
7366,20033,,,Harcourt
7375,27129,,,Wiley (TP)
7389,20244,,,Marvel
7432,19875,,,Picador USA
7437,19899,,,Grove Press
